,Titulo,Descripcion,Area,Precio,Cuartos,Baños,Garajes
29,"Casa en Arriendo, SIMON BOLIVAR Medellín.","COD.16812    Amplia casa bifamiliar en arriendo, zona residencial y comercial con cercanía al Mall y Éxito Laureles, Parroquia La Chinca, Escuela Francisco Antonio Zea, glorieta Don Quijote, área de 200 metros aproximadamente, sector Simón Bolívar, estrato 5. Inmueble con excelente distribución de sus espacios, donde encontramos zona social de sala comedor, biblioteca, cinco alcobas con closet cada una, un baño privado y un baño social enchapados y cabinados  funcional cocina s",200.0 m2,$5.000.000,5,2,0
30,"Casa en Arriendo, BELEN Medellín.","Casa con buenos espacios y acabados, muy iluminada y ventilada. Cuenta con buenas rutas de transporte y vías de acceso.
Gracias por su interés en uno de nuestros inmuebles, RASKCIELOS Tiene para usted más ofertas inmobiliarias, contáctenos a través de nuestro PBX que aparece al inicio de nuestra publicación, uno de nuestros asesores le atenderá y acompañará en su búsqueda.
",156.0 m2,$2.550.000,3,3,0
31,"Casa en Arriendo, ROSALES Medellín.","Casa comercial en arriendo en Belén Rosales,se arrienda con los muebles o sin ellos,esta remodelada,cerca de la 70,avenida bolivariana,Unicentro,cuenta con sala comedor,cocina integral,zona de ropa,5 alcobas,4 baños,5 closets,alcoba servicio,antejardín,garaje.",225.0 m2,$5.000.000,5,4,1
32,"Casa en Venta Y Arriendo, EL POBLADO Medellín.","Casa para venta o arriendo en unidad cerrada. Cuenta con cuatro niveles, piso en marmol, 5 alcobas mas la del servicio, baño en cada alcoba, vestier y jacuzzi en la principal. Hall de acceso, puerta de seguridad, chimenea en la sala, comedor independiente y auxiliar, cocina integral mixta. Cuenta con un gran lote y terraza, jardin interior y parqueadero independiente. La unidad cuenta con salon social, zonas verdes, vigilancia, citofonia, porteria 24 horas, circuito cerrado de tv y alarma. ",698.0 m2,$12.600.000,5,5,3
33,"Casa en Arriendo, LORENA Medellín.","Casa con buenos espacios y acabados,muy iluminada y ventilada. Cuenta con buenas rutas de transporte y vías de acceso. Gracias por su interés en uno de nuestros inmuebles,RASKCIELOS Tiene para usted más ofertas inmobiliarias,contáctenos a través de nuestro PBX que aparece al inicio de nuestra publicación,uno de nuestros asesores le atenderá y acompañará en su búsqueda.",88.0 m2,$980.000,3,2,0
34,"Casa en Arriendo, LA FLORESTA Medellín.","COD: 9359

Amplia casa bifamiliar para rentar en Medellín-La Floresta, con un área de 150 metros aproximadamente por confirmar sobre escrituras, 2° piso, estrato 4. Sus dos ventilados niveles nos ofrecen zona social de sala y comedor independientes, cuatro alcobas, tres closets, alcoba de servicio con closet, un baño privado y un baño social enchapados y cabinados en acrílico, uno de ellos con mueble inferior, calentador de gas; práctica cocina integral mixta con extractor.",150.0 m2,$1.400.000,4,2,1
35,"Casa en Arriendo, MIRAVALLE Medellín.","COD.16829    Magnífica casa en arrendamiento, zona residencial tranquila y segura, cercana al Cementerio de Belén, avenida 33, glorieta y Parroquia Santa Gema, Registraduría auxiliar, área de 254 metros aproximadamente, sector Nogal en Belén, 1  piso, estrato 4. Inmueble con excelente distribución de sus espacios y maravillosa iluminación natural, donde encontramos zona social de sala comedor, cuatro alcobas con closet cada una, alcoba de servicio con su correspondiente baño se",254.0 m2,$3.500.000,4,2,1
36,"Casa en Venta Y Arriendo, LAS ACACIAS Medellín.","Casa local disponible para arriendo y venta. Tiene, 3 alcobas, 2 baños, cocina corriente, sala comedor, ",196.0 m2,$10.000.000,3,2,1
37,"Casa en Arriendo, EL NOGAL- LOS ALMENDROS Medellín.","COD.16827    Excelente casa comercial en arriendo, exclusiva zona comercial y residencial arborizada y lindos antejardines, con cercanía a la avenida 33, Estación de servicio Los Almendros, bulerías, área de 220 metros aproximadamente, sector Nogal en Belén, 1  piso, estrato 5. Inmueble con   muy buena distribución de sus amplios espacios y maravillosa iluminación natural en sus dos niveles, donde encontramos sala de espera y recepción, cinco oficinas privadas con archivador cl",220.0 m2,$4.500.000,5,5,1
38,"Casa en Arriendo, LA CASTELLANA Medellín.","Casa independiente para uso comercial en el sector de la Castellana a solo dos cuadras de la Iglesia Santa Gema, con facil acceso desde la 80 y la Av33, entorno muy tranquilo y de poco flujo vehicular. Cerca a supermercados y servicios complementarios. Piso en porcelanato, dos niveles, aprox 10 espacios independientes, 4 baños, cocina amplia, patio interno y parqueadero cubierto. ",216.0 m2,$4.000.000,5,4,2
39,"Casa en Arriendo, LAURELES Medellín.","Casa con buenos espacios y acabados, muy iluminada y ventilada. Cuenta con buenas rutas de transporte y vías de acceso.
Gracias por su interés en uno de nuestros inmuebles, RASKCIELOS Tiene para usted más ofertas inmobiliarias, contáctenos a través de nuestro PBX que aparece al inicio de nuestra publicación, uno de nuestros asesores le atenderá y acompañará en su búsqueda.
",260.0 m2,$5.900.000,5,4,1
40,"Casa en Arriendo, MANILA Medellín.","COD: 9389

Tradicional casa unifamiliar para la renta en Medellín-Belén Altavista, con un área de 190 metros aproximadamente por confirmar sobre escrituras, 1° piso, estrato 3. Sus dos amplios niveles nos ofrecen zona social de sala comedor, cuatro alcobas, tres closets, un baño privado y dos baños sociales enchapados, con cortina; práctica cocina integral con anaqueles inferiores y superiores, patio, zona de ropas y balcón. Piso en baldosa, pintura en excelente estado.",190.0 m2,$1.400.000,4,3,0
41,"Casa en Arriendo, BELEN ROSALES Medellín.","COD: 9345

Cómoda casa bifamiliar para la renta en Medellín-Belén Rosales, con un área de 225 metros aproximadamente por confirmar sobre escrituras, 1° piso, estrato 5. En estos amplios espacios encontramos zona social de sala y comedor independientes, cuatro alcobas, alcoba de servicio, un baño privado y un baño social enchapados; funcional cocina integral mixta con anaqueles inferiores y superiores, dos patios y zona de ropas. Piso en baldosa, pintura en excelente estado.",225.0 m2,$3.500.000,4,2,1
42,"Casa en Arriendo, SURAMERICANA Medellín.","Hermosa casa ubicada en el barrio estadio de medellin ,con 175  mts ,2do piso ,3 ,alcobas,3  ,closer amplios, baños, un estudio,sala comedor muy amplias  cocina abierta  con zona de ropa ,en madera teca,mezon en mármol,con balcón bien amplio,con buena luz,pisos en porcelanato.",175.0 m2,$3.200.000,3,3,0
43,"Casa en Arriendo, MANILA Medellín.","COD.16426    Estupenda casa en arrendamiento, tradicional sector residencial cercano a vías principales, Clínica Infantil Santa Ana, Estación de Policía, con un área de 90 metros aproximadamente, sector El Poblado, 1  piso, estrato 5. Nos ofrecen sus espacios, zona social de sala comedor, tres alcobas con closet cada una, un baño privado enchapado y cabinado en acrílico, con mueble inferior, un baño de servicio, calentador de paso  funcional cocina integral mixta con horno, ext",90.0 m2,$3.000.000,3,1,1
44,"Casa en Arriendo, LA PALMA Medellín.",CASA en alquiler en LA PALMA Casa para arriendo en sector de belen la palma comoda amplia y con numerosas rutas de transporte. con facil acceso a la av 80 y el consumo  con cercania a Belen la palma por salud cop y el consumo de la 80  Balcones 1 Banos 4 Jardin 1 Parqueaderos Cubiertos   1 Patios 1 Tipo Cocina Cocineta,290.0 m2,$2.900.000,1,4,1
45,"Casa en Arriendo, SANTA MARIA DE LOS ANGELES Medellín.","Casa independiente para uso comercial en el sector de la Aguacatala, muy cerca al metro y con facil acceso tanto desde Las Vegas como de la Av Regional. Ambiente tranquilo y de poco flujo vehicular. Piso en ceramica, dos niveles, amplios espacios independientes, 3baños, cocineta, cableado de red y zona de parqueo en area descubierta para 5vehiculos. ",580.0 m2,$12.850.000,5,3,4
46,"Casa en Venta Y Arriendo, SAN LUCAS Medellín.","Casa en unidad cerrada en el sector de San Lucas con facil acceso a la Iglesia, supermercados y rutas de transporte publico. Piso en marmol y madera, dos niveles, sala y comedor independientes, estudio, estar de tv. 3 alcobas con baño en cada una, cocina integral, balcon, jardin interno con terraza muy amplia. Parqueaderos independientes. (2 cubiertos + 6 descubiertos). Unidad de 40 casas, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv.  
",318.0 m2,$9.400.000,3,4,4
47,"Casa en Arriendo, LOS COLORES Medellín.","Casa  con un área de 256m2 primer piso con iluminación natural, 4 Habitaciones amplias, 3 baños en chapados y cabinados, 2 patios, cuenta con acabados modernos. La cocina integral , Esta casa cuenta con amplios espacios abiertos que invitan a compartir, es ideal para familias grandes, que deseen tener comodidad y diversidad en el hogar. Se encuentra ubicada en la zona de los colores, con facilidad de acceso a transporte público, colegio, universidad, centro comercial.",256.0 m2,$3.800.000,4,3,1
48,"Casa en Arriendo, LAS ACACIAS Medellín.",CASACOM en alquiler en LAURELES Casa comercial para arriendo idonea para oficinas muy iluminada. localizada en el sector  la castellana  con vias de acceso por la avenida 80 avenida 33 con cercanias al Centro Comercial viva Laureles y  Centro Comercial los Molinos facil acceso a vias principales  buenas rutas de acceso con cercania a AL LADO DEL EDIF XCARET  IGLESIA SANTA GEMA. Balcones 1 Banos 2 Closet de Lino 2 Instalacion de Gas Red Instalacion de Luz Patios 2 Tipo Cocina Integral Tipo de Pi,180.0 m2,$3.500.000,4,2,0
49,"Casa en Arriendo, EL VELODROMO Medellín.","Espectacular casa con espacios muy amplios, disfruta de el gran patio interno con el que cuenta, cocina y habitaciones con buen espacio, zona de estudio grande, ideal para empresas.",350.0 m2,$6.000.000,4,,0
